212:Date,Filter,Position,Lidar,Sonar
661:,False,-210.00000000000003,53.07941176470589,56.5272,
661:,False,-205.71428571428572,52.393678696158325,55.480399999999996,
173:,False,-201.42857142857144,55.47390243902439,54.4336,
174:,False,-197.14285714285717,55.14456310679612,55.480399999999996,
174:,False,-192.85714285714286,54.656506024096394,55.480399999999996,
174:,False,-188.57142857142858,55.30883211678833,55.480399999999996,
174:,False,-184.2857142857143,54.415114045618246,55.480399999999996,
670:,False,-180.0,55.55673992673993,55.480399999999996,
670:,False,-175.71428571428572,54.575848375451265,55.480399999999996,
670:,False,-171.42857142857144,56.14231527093596,55.480399999999996,
670:,False,-167.14285714285714,54.818405797101455,55.480399999999996,
670:,False,-162.85714285714286,55.55673992673993,54.4336,
166:,False,-158.57142857142858,55.47390243902439,55.480399999999996,
167:,False,-154.28571428571428,54.899649334945586,55.480399999999996,
167:,False,-150.0,53.85857142857143,55.480399999999996,
167:,False,-145.71428571428572,56.39637824474661,55.480399999999996,
167:,False,-141.42857142857142,54.2551497005988,55.480399999999996,
677:,False,-137.14285714285714,52.544819136522754,55.480399999999996,
678:,False,-132.85714285714286,55.14456310679612,55.480399999999996,
678:,False,-128.57142857142858,55.22659781287971,55.480399999999996,
678:,False,-124.28571428571429,54.2551497005988,54.4336,
678:,False,-120.00000000000001,54.17545454545455,55.480399999999996,
174:,False,-115.71428571428571,55.39126674786845,55.480399999999996,
174:,False,-111.42857142857143,53.07941176470589,55.480399999999996,
174:,False,-107.14285714285715,56.48148514851486,55.480399999999996,
174:,False,-102.85714285714286,55.22659781287971,54.4336,
174:,False,-98.57142857142858,54.33503597122303,55.480399999999996,
669:,False,-94.28571428571429,54.899649334945586,55.480399999999996,
669:,False,-90.0,56.05804428044281,54.4336,
669:,False,-85.71428571428572,56.22679408138101,54.4336,
669:,False,-81.42857142857143,55.639779951100245,54.4336,
669:,False,-77.14285714285714,53.93750893921335,54.4336,
181:,False,-72.85714285714286,53.31122786304605,55.480399999999996,
181:,False,-68.57142857142857,53.85857142857143,54.4336,
182:,False,-64.28571428571429,55.80647058823529,54.4336,
182:,False,-60.00000000000001,54.33503597122303,55.480399999999996,
182:,False,-55.714285714285715,52.62065420560747,54.4336,
678:,False,-51.42857142857143,54.656506024096394,55.480399999999996,
678:,False,-47.142857142857146,55.80647058823529,55.480399999999996,
678:,False,-42.85714285714286,54.2551497005988,54.4336,
678:,False,-38.57142857142857,57.69549118387909,54.4336,
678:,False,-34.285714285714285,55.80647058823529,54.4336,
174:,False,-30.000000000000004,55.80647058823529,54.4336,
174:,False,-25.714285714285715,56.05804428044281,55.480399999999996,
174:,False,-21.42857142857143,55.14456310679612,55.480399999999996,
174:,False,-17.142857142857142,54.2551497005988,54.4336,
174:,False,-12.857142857142858,55.80647058823529,55.480399999999996,
685:,False,-8.571428571428571,57.2570337922403,54.4336,
685:,False,-4.285714285714286,54.17545454545455,55.480399999999996,
685:,False,0.0,55.06272727272728,55.480399999999996,
685:,False,-4.285714285714286,54.17545454545455,55.480399999999996,
685:,False,-8.571428571428571,57.2570337922403,54.4336,
181:,False,-12.857142857142858,54.899649334945586,55.480399999999996,
181:,False,-17.142857142857142,54.33503597122303,54.4336,
181:,False,-21.42857142857143,55.8901226993865,54.4336,
181:,False,-25.714285714285715,55.8901226993865,55.480399999999996,
181:,False,-30.000000000000004,53.31122786304605,55.480399999999996,
677:,False,-34.285714285714285,54.495384615384616,55.480399999999996,
677:,False,-38.57142857142857,53.00250293772033,55.480399999999996,
677:,False,-42.85714285714286,55.72302325581395,54.4336,
677:,False,-47.142857142857146,55.97398034398035,54.4336,
677:,False,-51.42857142857143,52.46916083916084,55.480399999999996,
189:,False,-55.714285714285715,55.80647058823529,54.4336,
189:,False,-60.00000000000001,56.22679408138101,54.4336,
189:,False,-64.28571428571429,55.47390243902439,55.480399999999996,
189:,False,-68.57142857142857,54.98108958837772,54.4336,
189:,False,-72.85714285714286,55.14456310679612,54.4336,
685:,False,-77.14285714285714,53.93750893921335,55.480399999999996,
685:,False,-81.42857142857143,52.544819136522754,55.480399999999996,
685:,False,-85.71428571428572,53.85857142857143,54.4336,
685:,False,-90.0,55.39126674786845,55.480399999999996,
685:,False,-94.28571428571429,52.77285714285714,54.4336,
